,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,mask,lang,text,line,word
34,Q003617.1.1,anāku[I]IP,[a-na-ku,anāku,anāku,I,IP,"['𒀀', '𒈾', '𒆪']",𒀀𒈾𒆪,[a-na-ku],"['missing', 'missing', 'missing']",1.0,,,Q003617,1,1
35,Q003617.1.2,Ninurta-belu-uṣur[provincial governor of the city Kar-Shalmaneser]PN$,{m}{d}MAŠ-EN]-⸢PAP⸣,Ninurta-belu-uṣur,Ninurta-belu-uṣur,provincial governor of the city Kar-Shalmaneser,PN,"['𒁹', '𒀭', '𒈦', '𒂗', '𒉽']",𒁹𒀭𒈦𒂗𒉽,{[m]}{[d]}[MAŠ-EN]-⸢PAP⸣,"['missing', 'missing', 'missing', 'missing', 'damaged']",0.9,PN,,Q003617,1,2
36,Q003617.1.3,bēlu[lord]N$bēl&pīhātu[post//province]N'N$pīhāti,EN.NAM,bēl,bēlu,lord,N,"['𒂗', '𒉆']",𒂗𒉆,EN.NAM,"['complete', 'complete']",0.0,,,Q003617,1,3
37,Q003617.1.3,bēlu[lord]N$bēl&pīhātu[post//province]N'N$pīhāti,EN.NAM,pīhāti,pīhātu,province,N,"['𒂗', '𒉆']",𒂗𒉆,EN.NAM,"['complete', 'complete']",0.0,,,Q003617,1,3
38,Q003617.1.4,Kar-Salmanu-ašared[Kar-Shalmaneser]SN$Kar-Salmanu-ašared,{uru}⸢kar-{m⸣}{d}SILIM-⸢ma⸣-[nu-MAŠ],Kar-Salmanu-ašared,Kar-Salmanu-ašared,Kar-Shalmaneser,SN,"['𒌷', '𒋼𒀀', '𒁹', '𒀭', '𒁲', '𒈠', '𒉡', '𒈦']",𒌷𒋼𒀀𒁹𒀭𒁲𒈠𒉡𒈦,{URU}⸢kar⸣-{⸢m⸣}{d}SILIM-⸢ma⸣-[nu-MAŠ],"['complete', 'damaged', 'damaged', 'complete', 'complete', 'damaged', 'missing', 'missing']",0.44,,,Q003617,1,4
39,Q003617.2.1,urmahhī[lion colossus]N,[UR.MAH.MEŠ,urmahhī,urmahhu,lion colossus,N,"['𒌨', '𒈤', '𒎌']",𒌨𒈤𒎌,[UR].[MAH].[MEŠ],"['missing', 'missing', 'missing']",1.0,,,Q003617,2,1
40,Q003617.2.2,atbaru[basalt]N$atbari,{na₄]}⸢AD⸣.BAR,atbari,atbaru,basalt,N,"['𒎎', '𒀜', '𒁇']",𒎎𒀜𒁇,{[NA₄]}⸢AD⸣.BAR,"['missing', 'damaged', 'complete']",0.5,,,Q003617,2,2
41,Q003617.2.3,kiṣru[knot]N$kiṣir,ki-ṣir,kiṣir,kiṣru,knot,N,"['𒆠', '𒈲']",𒆠𒈲,ki-ṣir,"['complete', 'complete']",0.0,,,Q003617,2,3
42,Q003617.2.4,šadê[mountain]N,KUR-e,šadê,šadû,mountain,N,"['𒆳', '𒂊']",𒆳𒂊,KUR-e,"['complete', 'complete']",0.0,,,Q003617,2,4
43,Q003617.2.5,u,[x,,,,u,['x'],x,[x],['missing'],1.0,,,Q003617,2,5
